all_hard_pass,duration_seconds,final_logical_model_present,final_physical_model_present,group_id,judge_missing_final_outputs,judge_rationale,logical_architecture_reasonableness,logical_physical_consistency,logical_simulation_meaningfulness,logical_xcom_compile_pass,missing_logical_model,missing_physical_model,physical_architecture_reasonableness,physical_simulation_meaningfulness,physical_xcom_compile_pass,req_usecase_syntax_pass,run_id,run_status,task_id
False,5370.938,True,False,multi_agent_current,True,"One or more required final model outputs were missing, so the sample was assigned the predefined score of 1.",1,1,1,True,False,True,1,1,False,True,full_20260804_002,model_failed,rflp_001
True,5125.985,True,True,multi_agent_current,False,"The logical model lacks reactive control logic, acting merely as a linear, hardcoded timeline script rather than a meaningful state machine. The physical model has a reasonable component decomposition but contains critical flaws: key variables (e.g., u_p_actual, u_v_actual, err_sig) are used in equations but never defined, and the PID controller lacks output equations, rendering the simulation physically meaningless and likely to fail. Consequently, the logical model's open-loop scripted behavior is inconsistent with the physical model's intended closed-loop control, and the physical model's incomplete equations break the refinement.",2,2,2,True,False,False,2,2,True,True,full_20260804_002,completed,rflp_002
False,7200.0,True,False,multi_agent_current,True,"One or more required final model outputs were missing, so the sample was assigned the predefined score of 1.",1,1,1,True,False,True,1,1,False,True,full_20260804_002,model_failed,rflp_003
False,1383.141,False,False,multi_agent_current,True,"One or more required final model outputs were missing, so the sample was assigned the predefined score of 1.",1,1,1,False,True,True,1,1,False,True,full_20260804_002,model_failed,rflp_004
True,5078.922,True,True,multi_agent_current,False,"The logical model features a clear subsystem decomposition (control, protection, feedback) and meaningful event sequencing for all required scenarios, though the central event broadcaster is slightly rigid. The physical model includes comprehensive components with realistic motor dynamics and sensor bandwidths; however, electrical parameters (R, L) are declared but unused in the motor equations. The physical simulation excellently employs continuous equations and smooth approximations for discontinuous limits, ensuring physical meaningfulness. Consistency is outstanding, with a faithful 1:1 mapping of subsystems, signals, and scenarios, where logical discrete events are accurately translated into physical continuous time-based signals.",4,5,4,True,False,False,4,5,True,True,full_20260804_002,completed,rflp_005
False,426.843,False,False,multi_agent_current,True,"One or more required final model outputs were missing, so the sample was assigned the predefined score of 1.",1,1,1,False,True,True,1,1,False,False,full_20260804_002,model_failed,rflp_006
True,5558.937,True,True,multi_agent_current,False,"Logical architecture is well-decomposed into control, disturbance, safety, and recording subsystems, but contains unreachable states (e.g., DeviationRecording in DosingRateControlSubsystem lacks incoming transitions). Physical architecture correctly models components (pump, valve, tank, sensors) with first-order dynamics and appropriate control blocks. Logical simulation effectively drives the required scenarios via a dedicated timeline source and state transitions. Physical simulation uses smooth-step functions to represent discrete events and continuous equations for physical dynamics, ensuring numerical stability and physical meaning. Logical-physical consistency is excellent, with direct mapping of logical subsystems to physical control blocks and perfectly aligned interfaces and simulation scenarios.",4,5,5,True,False,False,5,5,True,True,full_20260804_002,completed,rflp_007
True,5074.406,True,True,multi_agent_current,False,"Logical architecture defines clear subsystems and ports, but the control state machines are merely passive, copy-pasted timeline trackers rather than reactive control logic. Physical architecture excellently decomposes sensors, controllers, actuators, and plant dynamics with clear traceability. Logical simulation captures the required scenarios but relies on scripted timeouts instead of reactive, condition-based modes. Physical simulation uses meaningful continuous equations for aerodynamics, inertia, and PI control, despite slightly hacky continuous step approximations. Consistency is strong, with physical components faithfully mapping to logical subsystems and boundary conditions mirroring the logical scenario timeline.",3,4,3,True,False,False,4,4,True,True,full_20260804_002,completed,rflp_008
True,4500.797,True,True,multi_agent_current,False,"Logical architecture is well-decomposed but relies on artificial periodic polling (statehold) for condition checks and lacks fault priority in SafetyHoldManager. Physical architecture excellently maps components with appropriate continuous approximations for logical thresholds. Logical simulation reflects safety requirements but uses a rigid scripted timeline rather than reactive events. Physical simulation accurately models dynamics like actuator lag and platform inertia. Consistency is strong, though the physical model's robust fault aggregation (any_fault) highlights the logical model's missing priority handling for simultaneous faults.",4,4,4,True,False,False,5,5,True,True,full_20260804_002,completed,rflp_009
True,5744.25,True,True,multi_agent_current,False,"Logical architecture and simulation are flawed because the state machines across multiple subsystems (e.g., ControlCore, SensorInterface, ActuatorInterface) are identically copy-pasted rigid timelines rather than distinct, condition-based logic. Physical architecture and simulation are excellent, featuring accurate thermodynamic equations, first-order actuator/sensor dynamics, and meaningful physical variables. Logical-physical consistency is good, as physical components (e.g., embedded_ddc_controller, supervisory_controller) faithfully refine logical subsystems and map signals correctly, though the physical model's continuous dynamics naturally diverge from the logical model's artificial rigid state sequences.",3,4,3,True,False,False,5,5,True,True,full_20260804_002,completed,rflp_010
